,Address,Bath,Bed,City,Price
0,14 Putnam St,3 baths,5 beds,Boston MA 02129,"$1,825,000"
1,85 Saint Botolph St Unit 1,1 bath,2 beds,Boston MA 02116,"$849,000"
2,38 Hardwick St,1 bath,3 beds,Boston MA 02135,"$759,900"
3,477 Elm Street,2 baths,4 beds,Braintree MA 02184,"$619,900"
4,45 West Third Street Unit 402-413,3 baths,3 beds,Boston MA 02127,"$1,995,000"
5,555 Columbus Avenue Unit 1,1 bath,1 bed,Boston MA 02118,"$519,900"
6,34 Edson St,1 bath,3 beds,Boston MA 02124,"$369,900"
7,84 Geraldine Lane,2 baths,4 beds,Braintree MA 02184,"$779,000"
8,84 Bunker Hill Street #3,1 bath,1 bed,Charlestown MA 02129,"$475,000"
9,14 Leverett Avenue #1A,1 bath,2 beds,East Bosotn MA 02128,"$314,900"
10,45 West Third Street Unit 508,2 baths,2 beds,Boston MA 02127,"$1,175,000"
11,45 West Third Street Unit 329,2 baths,2 beds,Boston MA 02127,"$1,025,000"
12,45 West Third Street Unit 514,1 bath,1 bed,Boston MA 02127,"$930,000"
13,13 Mercer St 1,2 baths,3 beds,Boston MA 02127,"$799,000"
14,143-171 Hyde Park Ave 169A,2 baths,3 beds,Boston MA 02130,"$769,000"
15,27 Marcella St 5,2 baths,3 beds,Boston MA 02119,"$649,000"
16,243 Belgrade Ave A,2 baths,4 beds,Boston MA 02131,"$579,000"
17,6 Whittier Pl 16C,1 bath,1 bed,Boston MA 02114,"$569,000"
18,125 Brayton Road,2 baths,3 beds,Brighton MA 02135,"$624,900"
19,27 Mount Vernon Street Unit 2,2 baths,3 beds,Boston MA 02129,"$1,169,000"
